Ticker,Name,Sector,Price,Dividend Yield,1-Year Dividend Growth,5-Year Dividend Growth (Annualized),Dividends Per Share (TTM),Market Cap ($M),Trailing P/E Ratio,Payout Ratio,Beta,52-Week High,52-Week Low
ACHV,Achieve Life Sciences Inc.,Healthcare,7.64,0,,,0,72.280779,0,N/A,0.844056131,11.75,6.05
ACIA,Acacia Communications Inc,Technology,114.99,0,,,0,0,0,0,,,
ACIW,ACI Worldwide Inc,Technology,27.49,0,,,0,3163.099931,24.7521338,0,1.164436302,41.16,25.93
ACLS,Axcelis Technologies Inc,Technology,56.43,0,,,0,1872.491127,18.98115689,0,2.55419657,83.74,33.36
ACM,AECOM,Industrials,76.28,0.003928993,,,0.299703556,10781.62703,51.68441327,0.211058842,1.089860321,79.81,58.13
ACMR,ACM Research Inc,Technology,16.64,0,,,0,297.576315,7.881354845,0,1.986306047,39.71,14.07
ACN,Accenture plc,Technology,319.47,0.012145115,,,3.774267943,211627.8906,33.11010799,0.380854485,1.109248099,415.05,273.76
ACNB,ACNB Corp.,Financial Services,34.3,0.029367346,0.04,0.053873952,1.007299984,297.696766,0,N/A,0.422263149,36.04,26.31
ACOR,Acorda Therapeutics Inc,Healthcare,1.55,0,,,0,14.698962,N/A,0,1.18047088,6.36,1.52
ACRE,Ares Commercial Real Estate Corp,Real Estate,16.3,0.080981595,-0.939393939,-0.414230979,1.29151146,770.47179,12.74349637,0.909515113,0.731183993,16.43,13.15
ACRS,Aclaris Therapeutics Inc,Healthcare,17.01,0,,,0,1042.288311,N/A,0,1.089375537,28.25,9.26
ACRX,Acelrx Pharmaceuticals Inc,Healthcare,0.26,0,,,0,31.022832,0,N/A,1.268244664,1.67,0.25
ACTG,Acacia Research Corp,Industrials,4.4,0,,,0,204.488605,1.721226602,0,1.360991101,7.54,3.3
ACU,Acme United Corp.,Consumer Defensive,32.65,0.015833327,0,0.033975227,0.516958139,114.949092,0,N/A,0.419540828,47.6,29.7
ADBE,Adobe Inc,Technology,420.44,0,,,0,198657.9,41.15556246,0,1.565779028,699.54,407.94
ADC,Agree Realty Corp.,Real Estate,69.96,0.040165809,0,-0.172488576,2.61657491,4993.927815,41.70085687,1.469985904,0.57430438,73.97,61.2
ADES,Advanced Emissions Solutions Inc,Industrials,6.17,0,,,0,116.24897,0,N/A,0.514631259,8.41,4.6
ADI,Analog Devices Inc.,Technology,156.5,0.017966959,0.101449275,0.110504226,2.811829028,81898.81785,63.8846299,0.966264271,1.404086906,190.29,141.62
ADM,Archer Daniels Midland Co.,Consumer Defensive,96.91,0.016510164,0.081081081,0.045639553,1.497907153,54509.69239,20.12170262,0.312715481,0.414500324,97.64,55.96
ADMA,Adma Biologics Inc,Healthcare,2.01,0,,,0,393.79991,0,N/A,0.89530293,2.63,1.01
ADMP,Adamis Pharmaceuticals Corp,Healthcare,0.4824,0,,,0,71.822674,N/A,0,0.343833915,1.48,0.465
ADMS,Adamas Pharmaceuticals Inc,Healthcare,8.22,0,,,0,0,0,0,,,
ADNT,Adient plc,Consumer Cyclical,33.4,0,,,0,3165.197059,3.50132418,0,2.019893623,53.17,30.53
ADP,Automatic Data Processing Inc.,Industrials,229.2,0.018150087,0.11827957,0.127798978,3.913225307,96274.37474,35.08797097,0.605762431,0.854149415,247.73,181.43
ADSK,Autodesk Inc.,Technology,196.73,0,,,0,42750.99773,86.01810407,0,1.644155684,344.39,186.29
ADT,ADT Inc,Industrials,6.99,0.019893087,,,0.139052679,5950.619951,N/A,N/A,1.293607143,11.58,6.65
ADTN,Adtran Inc.,Technology,17.81,0.020086606,0,0,0.357742452,878.297247,N/A,N/A,1.183809906,24.55,16.51
ADUS,Addus HomeCare Corporation,Healthcare,89.46,0,,,0,1424.866188,31.57528228,0,1.277965942,111.59,68.57
ADVM,Adverum Biotechnologies Inc,Healthcare,1.2,0,,,0,118.50086,0,N/A,0.785740918,10.33,1.16
ADXS,"Advaxis, Inc.",Healthcare,0.0887,0,,,0,12.918131,N/A,0,,0.2,0.08
AE,Adams Resources & Energy Inc.,Energy,37.4,0.025366903,0,0.017554577,0.948722171,163.358188,0,N/A,0.218360791,39.59,24.54
AEE,Ameren Corp.,Utilities,96.25,0.024519481,0.072727273,0.060424778,2.222137302,24806.01036,25.05657613,0.578681589,0.253489377,97.61,78.32
AEGN,Aegion Corp,Industrials,29.99,0,,,0,0,0,0,,,
AEHR,Aehr Test Systems,Technology,8.99,0,,,0,242.036215,0,N/A,2.201376361,27.09,1.94
AEIS,Advanced Energy Industries Inc.,Industrials,73.98,0.005397667,,,0.399319428,2778.591664,20.6224889,0.113766219,1.598270149,120.41,73.87
AEL,American Equity Investment Life Holding Co,Financial Services,39.14,0.008686766,,,0.340000004,3794.59067,8.818128659,0.074725276,0.982987961,44.49,27.12
AEMD,Aethlon Medical Inc,Healthcare,1.24,0,,,0,19.106206,0,N/A,0.507809557,12.49,1.12
AEO,American Eagle Outfitters Inc.,Consumer Cyclical,17.5,0.040630097,,,0.711026696,2954.74235,7.041320667,0.350259456,1.485594065,38.07,15.12
AEP,American Electric Power Company Inc.,Utilities,102.04,0.030576245,0.054054054,0.05742243,3.000796703,51483.95955,20.69207811,0.604999335,0.233966416,104.81,79.44
AERI,Aerie Pharmaceuticals Inc,Healthcare,9.16,0,,,0,443.269566,N/A,0,1.245385215,19.26,5.46
AES,AES Corp.,Utilities,24.41,0.025809095,0.049833887,0.056562441,0.603568004,16291.11542,N/A,N/A,0.925111667,28.15,19.76
AEY,Addvantage Technologies Group,Technology,1.19,0,,,0,15.504661,0,N/A,1.295864121,2.91,1.09
AFG,American Financial Group Inc,Financial Services,146.67,0.014176698,-0.86,0.069610376,2.079296287,12480.24197,6.255760385,0.0892019,0.852802931,150.41,94.07
AFI,Armstrong Flooring Inc,Industrials,1.72,0,,,0,37.460869,N/A,0,1.084204872,6.74,1.3
AFL,Aflac Inc.,Financial Services,65.33,0.024491045,0.212121212,-0.014360029,1.37820372,42455.41096,9.816279992,0.215681333,0.783493298,66.55,50.46
AGCO,AGCO Corp.,Industrials,141.51,0.033738581,-0.95,0.073940924,4.774346552,10548.36951,11.75960926,0.402898443,1.07071059,154.94,108.39
AGE,AgeX Therapeutics Inc,Healthcare,0.8891,0,,,0,33.735178,0,N/A,0.618864396,1.77,0.5162
AGEN,Agenus Inc,Healthcare,2.34,0,,,0,601.740032,N/A,0,1.398095077,6.79,2.28
AGFS,AgroFresh Solutions Inc,Consumer Defensive,1.84,0,,,0,96.447998,0,N/A,0.511892184,2.52,1.64
AGIO,Agios Pharmaceuticals Inc,Healthcare,27.9,0,,,0,1524.386278,0.951739123,0,0.995018627,62.16,26.51
AGLE,Aeglea BioTherapeutics Inc,Healthcare,1.98,0,,,0,97.736918,0,N/A,0.614195603,8.68,1.8
AGM,Federal Agricultural Mortgage Corp.,Financial Services,109.61,0.03466837,0.079545455,0.214183204,3.549983036,1123.697791,10.44493825,0.357861193,0.772473643,135,92
AGNC,AGNC Investment Corp,Real Estate,12.48,0.115384615,0,0,1.377881152,6517.352924,10.04214626,1.129410781,0.642482163,17.42,11.95
AGO,Assured Guaranty Ltd,Financial Services,60.4,0.014975094,0.136363636,0.118986969,0.904495648,3967.763157,10.19990529,0.172613673,1.124163651,65.68,43.69
AGR,Avangrid Inc,Utilities,48.93,0.035476077,0,0.00367657,1.73584446,18915.23678,26.75422458,0.88113932,0.271103591,54.3,41.79
AGRX,Agile Therapeutics Inc,Healthcare,0.1625,0,,,0,21.87524,0,N/A,1.832395906,1.97,0.1255
AGS,PlayAGS Inc,Consumer Cyclical,6.05,0,,,0,223.655856,0,N/A,1.220845534,11.32,5.46
AGTC,Applied Genetic Technologies Corp,Healthcare,1.1,0,,,0,47.213451,0,N/A,1.309994426,4.65,0.96
AGX,"Argan, Inc.",Industrials,36.99,0.026791645,,,0.991022954,548.029377,14.32981322,0.412926231,0.489087206,53.38,36.36
AGYS,"Agilysys, Inc",Technology,38.05,0,,,0,940.380333,N/A,0,1.609405105,59.6,33.63
AHC,A.H. Belo Corp,Communication Services,6.58,0.082148789,,,0.621044843,143.197135,N/A,N/A,-0.07341367,12.18,4.95
AHH,Armada Hoffler Properties Inc,Real Estate,14.23,0.045603522,,,0.648938118,958.024974,92.61649014,3.803857667,0.733091655,15.62,12.04
AHT,Ashford Hospitality Trust Inc,Real Estate,8.36,0,,,0,288.244917,N/A,0,2.126110774,77.9,6.56
AIG,American International Group Inc,Financial Services,63.03,0.020135921,0,0,1.269167127,50817.78503,5.429830648,0.117298256,1.048563956,64.9,43.78
AIMC,Altra Industrial Motion Corp,Industrials,35.63,0.008956957,0.333333333,-0.139941063,0.319136391,2318.055626,83.68431863,0.75356881,1.432633735,67.64,33.88
AIMT,Aimmune Therapeutics Inc,Healthcare,34.49,0,,,0,0,0,N/A,,,
AIN,Albany International Corp.,Consumer Cyclical,81.75,0.009994761,0.05,0.043167564,0.817071731,2593.134607,21.88705588,0.223855269,1.038697359,92.75,73.63
AINC,Ashford Inc,Financial Services,17.24,0,,,0,52.000184,0,N/A,1.363716481,28.27,7.79
AIR,AAR Corp.,Industrials,50.52,0,,,0,1778.136122,25.95819156,0,1.023398844,51.4,30.9
AIRG,Airgain Inc,Technology,8.32,0,,,0,84.7599,N/A,0,0.820299032,24.48,6.79
AIRI,Air Industries Group,Industrials,0.8254,0,,,0,26.564031,0,N/A,0.686710334,1.44,0.756
AIRT,Air T Inc,Industrials,18.4124,0,,,0,52.971609,54.722737,0,,43.05,17.02
AIT,Applied Industrial Technologies Inc.,Industrials,97.92,0.013512978,0.03030303,0.03232438,1.32319084,3765.66234,16.71384338,0.23132707,0.968702462,109.48,80.38
AIV,Apartment Investment & Management Co.,Real Estate,6.92,0,,,0,1055.689395,N/A,0,1.118395572,8.16,6.26
AIZ,Assurant Inc,Financial Services,189.3,0.014368727,0.03030303,0.051106226,2.6690877,10924.20088,7.987278553,0.117322536,0.73006107,190.19,143.58
AJG,Arthur J. Gallagher & Co.,Financial Services,180.61,0.011295056,0.0625,0.055118199,1.940959751,37858.41217,41.74946203,0.444155549,0.882848975,184.92,133.13
AJRD,Aerojet Rocketdyne Holdings Inc,Industrials,43.17,0,,,0,3477.092984,24.34939065,0,0.112294868,49.84,35.47
AJX,Great Ajax Corp,Real Estate,10.4,0.083814056,0.238095238,-0.028214491,0.871666178,240.752533,0,N/A,0.5930575,14.06,10.17
AKAM,Akamai Technologies Inc,Technology,118.99,0,,,0,19145.32049,29.38012051,0,0.732191559,122.01,96.86
AKBA,Akebia Therapeutics Inc.,Healthcare,0.5382,0,,,0,94.163694,0,N/A,1.652132625,4.33,0.47
AKCA,Akcea Therapeutics Inc,Healthcare,18.17,0,,,0,0,0,N/A,,,
AKR,Acadia Realty Trust,Real Estate,21.19,0.033978292,,,0.623257806,1983.781058,86.5372997,2.383395052,0.943789777,22.98,18.45
AKTS,Akoustis Technologies Inc,Technology,5.56,0,,,0,303.978355,0,N/A,2.151607634,12.87,4.58
AL,Air Lease Corp,Industrials,43.32,0.015828641,0.15625,0.197904215,0.68569674,4949.270969,12.12584059,0.192071916,1.352050334,50.54,33.26
ALB,Albemarle Corp.,Basic Materials,210.89,0.007397221,0.012820513,0.043012284,1.560669915,24697.83277,199.7043209,1.472330108,1.837885113,290.4,145.41
ALBO,Albireo Pharma Inc,Healthcare,36.55,0,,,0,707.677372,N/A,0,0.788139839,37.86,20.3
ALCO,Alico Inc.,Consumer Defensive,40.36,0.048544518,1.777777778,0.528142136,1.959256766,304.532869,7.401455066,0.358182224,0.227988594,40.45,27.14
ALDX,Aldeyra Therapeutics Inc,Healthcare,4.56,0,,,0,264.93128,0,N/A,1.186036638,15.95,3
ALE,"Allete, Inc.",Utilities,63.44,0.040983607,0.031746032,0.039709267,2.502640339,3381.666028,19.98620584,0.777217497,0.485159635,71,55.7
ALEC,Alector Inc,Healthcare,11.465,0,,,0,940.586009,0,N/A,1.63541083,43.32,11.21
ALEX,Alexander & Baldwin Inc.,Real Estate,22.5,0.031205867,,,0.702132014,1635.30819,46.19514661,1.439975418,0.944514907,26.16,16.67
ALG,Alamo Group Inc.,Industrials,136.82,0.004669934,0.285714286,0.124746113,0.638940417,1633.159045,20.35215957,0.09465784,0.801097784,165.25,131.18
ALGN,"Align Technology, Inc.",Healthcare,409.82,0,,,0,32295.96018,41.83306155,0,1.785671677,737.45,372.62
ALGT,Allegiant Travel,Industrials,158.74,0,,,0,2875.103325,19.21372462,0,1.537453565,245.99,132.03
ALIM,Alimera Sciences Inc.,Healthcare,6.15,0,,,0,43.004822,0,N/A,0.754163594,11.48,3.94
ALJJ,Alj Regional Holdings Inc,Industrials,2.54,0,,,0,107.718428,0,N/A,1.131168908,2.8,0.96
ALK,Alaska Air Group Inc.,Industrials,57.11,0,,,0,7200.806126,15.06444796,0,1.33350434,72.92,43.46
ALKS,Alkermes plc,Healthcare,29.36,0,,,0,4755.417415,N/A,0,0.726051916,33,19.76
ALL,Allstate Corp (The),Financial Services,141.16,0.024086143,0.049382716,0.18098244,3.246881581,39291.32983,26.45880797,0.654613222,0.4843107,144.41,105.36
ALLE,Allegion plc,Industrials,107.43,0.013805826,0.138888889,0.207070885,1.483159912,9478.596384,19.62442316,0.277745302,0.958513268,147.36,105.06
ALLK,Allakos Inc,Healthcare,5.38,0,,,0,294.614137,0,N/A,0.997133852,114.38,4.85
ALLO,Allogene Therapeutics Inc,Healthcare,8.25,0,,,0,1184.451692,0,N/A,1.818280613,35.88,7.56
ALLY,Ally Financial Inc,Financial Services,41.22,0.029112082,0.578947368,0.302585542,0.982394313,13662.50037,4.549617172,0.11951269,1.307726826,55.69,39.85
ALNA,Allena Pharmaceuticals Inc,Healthcare,0.2387,0,,,0,19.709716,0,N/A,1.371106443,1.45,0.2164
ALNY,Alnylam Pharmaceuticals Inc,Healthcare,167.34,0,,,0,20201.02743,N/A,0,0.570594134,212,125
ALOT,AstroNova Inc,Technology,12.85,0,,,0,93.244971,0,N/A,,18.52,11.85
ALPN,Alpine Immune Sciences Inc,Healthcare,8,0,,,0,242.355472,0,N/A,1.587145995,15.14,6
ALRM,Alarm.com Holdings Inc,Technology,59.14,0,,,0,2960.574422,56.65195319,0,1.331618119,95.83,59.07
ALSK,Alaska Communications Systems Group Inc,Communication Services,3.4,0,,,0,0,0,0,,,
ALSN,Allison Transmission Holdings Inc,Consumer Cyclical,35.16,0.022018388,0.105263158,0.069610376,0.774166512,3412.687509,7.721012463,0.187449519,0.549720974,45.5,32.21
ALT,Altimmune Inc,Healthcare,5.23,0,,,0,226.054627,0,N/A,1.140294763,19.46,5.15
ALTR,Altair Engineering Inc,Technology,57.8,0,,,0,3000.213329,N/A,0,1.398279326,82.96,56.71
ALV,Autoliv Inc.,Consumer Cyclical,72.72,0.03520352,,,2.499906501,6365.499532,14.59976957,0.502999296,1.225308492,109.67,70.15
ALX,Alexander`s Inc.,Real Estate,261.98,0.067009802,0,0.011497274,17.55522789,1338.007834,10.06550691,0.676762833,0.492123573,290.08,240.66
ALXN,Alexion Pharmaceuticals Inc.,Healthcare,182.5,0,,,0,0,0,0,,,
AM,Antero Midstream Corp,Energy,11.28,0.079787234,,,0.871561165,5386.242717,16.26934342,1.262949087,0.810614012,11.5,7.78
AMAL,Amalgamated Financial Corp,Financial Services,17.87,0.017781088,,,0.317748044,556.026891,0,N/A,0.511531515,19.81,13.36
AMAT,Applied Materials Inc.,Technology,113.36,0.009174312,0.090909091,0.191357898,1.198788794,100141.6163,15.28879638,0.166962228,1.962822656,167.06,113.25
AMBC,AMBAC Financial Group Inc.,Financial Services,8.86,0,,,0,410.545873,0,N/A,0.849600139,17.86,7.95
AMC,AMC Entertainment Holdings Inc,Communication Services,18.02,0,,,0,9250.210925,N/A,0,2.383203185,72.62,8.93
AMCR,Amcor Plc,Consumer Cyclical,11.67,0.041131105,,,0.472642138,17665.19663,18.61453808,0.765288435,0.630234624,12.79,10.66
AMCX,AMC Networks Inc,Communication Services,38.05,0,,,0,1170.714181,4.671719346,0,1.143855432,72.8,32.96
AMD,Advanced Micro Devices Inc.,Technology,93.06,0,,,0,150771.8916,47.68244515,0,2.074129112,164.46,72.5
AME,Ametek Inc,Industrials,127.05,0.006439191,0.1,0.195738009,0.818099249,29370.2603,29.66534146,0.192493941,0.904250047,147.82,121.6
AMED,Amedisys Inc.,Healthcare,153.72,0,,,0,4999.853525,23.91450565,0,1.353718191,292.97,122.12
AMEH,Apollo Medical Holdings Inc,Healthcare,43,0,,,0,2406.12004,0,N/A,2.249398291,133.23,26.15
AMG,Affiliated Managers Group Inc.,Financial Services,130.26,0.000307049,0,-0.450719728,0.039996229,5295.240162,9.064087918,0.003067196,1.715443291,191.6,121.4
AMGN,AMGEN Inc.,Healthcare,254.02,0.030548776,0.102272727,0.11024999,7.132794571,135592.0164,23.00899651,0.693851612,0.464812345,258.45,196.95
AMH,American Homes 4 Rent,Real Estate,41.55,0.01732852,0.8,0.29199401,0.477882696,14443.7853,107.0925418,1.153470182,0.681286994,43.86,34.31
AMKR,AMKOR Technology Inc.,Technology,18.82,0.009537237,,,0.179490805,4606.646812,7.164358684,0.068507941,2.05586373,29.37,17.9
AMN,AMN Healthcare Services Inc.,Healthcare,104,0,,,0,4780.9372,14.60327562,0,0.705590877,129.12,73.95
AMNB,American National Bankshares Inc.,Financial Services,36.21,0.030044711,0.037037037,0.031310306,1.087918988,377.239763,8.666998187,0.271979747,0.591113305,39.75,28.35
AMOT,Allied Motion Technologies Inc,Technology,27.4,0.003645585,-0.166666667,0,0.099889032,423.404446,0,N/A,1.439559218,44.64,26.81
AMP,Ameriprise Financial Inc,Financial Services,290.73,0.015547071,0.086538462,0.063653247,4.494855983,32148.10848,11.64786539,0.195428521,1.401936316,331.19,233.63
AMPE,Ampio Pharmaceuticals Inc,Healthcare,0.4,0,,,0,90.874747,0,N/A,1.903383693,2.01,0.3801
AMPH,Amphastar Pharmaceuticals Inc,Healthcare,41.54,0,,,0,2027.639223,32.64278483,0,0.047226343,44.46,17.01
AMR,Alpha Metallurgical Resources Inc,N/A,156.66,0,,,0,2905.622838,0,N/A,0.874163656,159.34,11.75
AMRB,American River Bancshares,Financial Services,20.91,0,,,0.210000001,0,0,N/A,,,
AMRC,Ameresco Inc.,Industrials,57.08,0,,,0,1924.983558,0,N/A,1.65793423,101.86,42.53
AMRK,A-Mark Precious Metals Inc,Financial Services,84.01,0,,,0,967.29198,0,N/A,1.16222572,85.81,33.05
AMRS,Amyris Inc,Basic Materials,4.53,0,,,0,1440.427969,0,N/A,2.6124252,17.42,3.65
AMRX,Amneal Pharmaceuticals Inc,Healthcare,4.12,0,,,0,620.633385,58.41805201,0,0.818461093,6.21,3.86
AMS,American Shared Hospital Services,Healthcare,2.33,0,,,0,14.09417,0,N/A,1.157143044,5.04,2.08
AMSC,American Superconductor Corp.,Industrials,6.86,0,,,0,195.220158,N/A,0,1.578344384,19.43,6.75
AMSF,Amerisafe Inc,Financial Services,46.53,0.024366603,0.068965517,0.070995886,1.133778035,901.009433,13.70231511,0.334447798,0.612323018,61.53,43.77
AMSWA,American Software Inc.,Technology,18.76,0.023295278,0,0,0.437019409,595.368542,0,N/A,1.230165491,32.98,18.16
AMT,American Tower Corp.,Real Estate,255.54,0.021914377,0.129032258,0.169471419,5.330373525,116587.5765,45.40545099,0.941762107,0.610921013,299.22,218.83
AMTD,AMTD IDEA Group,Financial Services,2.29,0,,,0,142.730779,0,N/A,,7.91,2.2
AMTX,Aemetis Inc,Energy,13.17,0,,,0,449.24856,0,N/A,1.730715227,23.33,7.88
AMWD,American Woodmark Corp.,Consumer Cyclical,46.27,0,,,0,766.722541,N/A,0,1.294113235,105.21,44.01
AMZN,Amazon.com Inc.,Consumer Cyclical,3034.13,0,,,0,1543230.099,46.25434897,0,1.304336525,3773.08,2671.45
AN,Autonation Inc.,Consumer Cyclical,101.46,0,,,0,6226.758376,4.535148125,0,1.014102778,133.48,88.32
ANAB,AnaptysBio Inc,Healthcare,22.86,0,,,0,632.591704,N/A,0,1.025581925,37.89,21.17
ANAT,American National Group Inc,Financial Services,189.17,0.017227211,,,3.258871494,5086.251624,7.273087083,0.125293022,0.134626915,193.38,109.23
ANDE,Andersons Inc.,Consumer Defensive,58.39,0.012330879,0.028571429,0.023836256,0.705541918,1984.545248,19.08473495,0.229818214,0.820250942,58.94,24.85
ANET,Arista Networks Inc,Technology,126.58,0,,,0,38957.09344,46.33038963,0,1.537450725,148.57,75.65
ANF,Abercrombie & Fitch Co.,Consumer Cyclical,34.49,0,,,0,1746.081324,6.63884006,0,1.483923563,48.97,26.47
ANGI,Angi Inc,Communication Services,5.06,0,,,0,402.813004,N/A,0,1.69644814,16.96,5.04
ANGO,Angiodynamic Inc,Healthcare,22.92,0,,,0,887.387681,N/A,0,1.165620667,32,20.03
ANH,Anworth Mortgage Asset Corp.,Real Estate,2.98,0.077325379,,,0.230429629,295.925866,N/A,N/A,1.593873891,3.19,0.6996
ANIK,Anika Therapeutics Inc.,Healthcare,23.19,0,,,0,335.489962,81.15383694,0,0.741847609,48.37,23.12
ANIP,ANI Pharmaceuticals Inc,Healthcare,32.16,0,,,0,555.120771,N/A,0,0.728199719,60.23,24.41
ANIX,Anixa Biosciences Inc,Healthcare,2.62,0,,,0,78.946676,0,N/A,0.938762018,5.87,2.3
ANSS,Ansys Inc.,Technology,282.33,0,,,0,24570.06611,54.04444986,0,1.491469082,413.89,258
ANTM,Anthem Inc,Healthcare,516.72,0.008747484,0.132743363,0.145141945,4.65076903,130866.7772,21.43951133,0.188061829,0.720279834,526.62,353.45
AON,Aon plc.,Financial Services,328.26,0.006823859,,,2.034512149,72326.31559,0,N/A,0.76460146,336.41,221.98
AOS,A.O. Smith Corp.,Industrials,63.79,0.017557611,0.076923077,0.148698355,1.073822528,10299.66098,21.14485933,0.355570374,1.012218782,86.42,59.9
AOSL,Alpha & Omega Semiconductor Ltd,Technology,44.89,0,,,0,1198.896533,0,N/A,2.755046244,69.99,23.66
AP,Ampco-Pittsburgh Corp.,Industrials,5.5,0,,,0,105.547948,N/A,0,0.792490941,8.19,4.12
APA,APA Corporation,Energy,43.68,0.011446886,4,-0.129449437,0.236916831,15153.77979,15.5742855,0.09147368,1.403264094,44.28,15.45
APAM,Artisan Partners Asset Management Inc,Financial Services,37.3,0.110455764,-0.181818182,0.037137289,4.572970195,2432.552734,7.973334516,0.898422435,1.558734633,52.66,33.93
APD,Air Products & Chemicals Inc.,Basic Materials,246.84,0.026251823,0.08,0.112649256,6.067942429,54728.71981,25.13374044,0.619810258,0.778603905,312.81,214.86
APDN,Applied Dna Sciences Inc,Industrials,1.93,0,,,0,14.448212,0,N/A,1.059260756,8.1,1.88
APEI,American Public Education Inc,Consumer Defensive,21.9,0,,,0,412.954109,23.2623991,0,0.618026148,34.12,16.97
APEN,Apollo Endosurgery Inc,Healthcare,5.91,0,,,0,234.173898,0,N/A,1.079345361,10.39,4.52
APEX,Apex Global Brands Inc,Consumer Cyclical,6.89,0,,,0,0,0,0,,,
